id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
585955,27,BlockedShot,87.5,62.0,0.0757430046796798,Vincenzo Grifo,h,5266,OpenPlay,2024,RightFoot,27745,Freiburg,VfB Stuttgart,3,1,2024-08-24 13:30:00,Junior Adamu,BallTouch
585956,29,BlockedShot,87.80000305175781,64.5,0.1065173223614692,Vincenzo Grifo,h,5266,OpenPlay,2024,RightFoot,27745,Freiburg,VfB Stuttgart,3,1,2024-08-24 13:30:00,Patrick Osterhage,TakeOn
585957,31,MissedShots,84.5,82.4000015258789,0.0502931252121925,Vincenzo Grifo,h,5266,DirectFreekick,2024,RightFoot,27745,Freiburg,VfB Stuttgart,3,1,2024-08-24 13:30:00,,Standard
590034,39,SavedShot,91.80000305175781,69.9000015258789,0.0518058016896247,Vincenzo Grifo,a,5266,OpenPlay,2024,LeftFoot,27759,Bayern Munich,Freiburg,2,0,2024-09-01 15:30:00,Ritsu Doan,Pass
590669,11,BlockedShot,90.4000015258789,27.29999923706054,0.0730017200112342,Vincenzo Grifo,h,5266,OpenPlay,2024,RightFoot,27762,Freiburg,Bochum,2,1,2024-09-14 13:30:00,,None
590678,36,BlockedShot,86.80000305175781,63.79999923706055,0.0571105517446994,Vincenzo Grifo,h,5266,OpenPlay,2024,LeftFoot,27762,Freiburg,Bochum,2,1,2024-09-14 13:30:00,,Rebound
590677,36,BlockedShot,81.5999984741211,55.00000000000001,0.0597748160362243,Vincenzo Grifo,h,5266,OpenPlay,2024,RightFoot,27762,Freiburg,Bochum,2,1,2024-09-14 13:30:00,Lukas Kübler,Pass
590692,62,MissedShots,90.80000305175781,59.0,0.108577124774456,Vincenzo Grifo,h,5266,OpenPlay,2024,RightFoot,27762,Freiburg,Bochum,2,1,2024-09-14 13:30:00,,None
590695,66,BlockedShot,85.0,54.79999923706055,0.1056290194392204,Vincenzo Grifo,h,5266,OpenPlay,2024,RightFoot,27762,Freiburg,Bochum,2,1,2024-09-14 13:30:00,Eren Sami Dinkci,Pass
592323,7,SavedShot,82.0999984741211,68.5,0.0315390601754188,Vincenzo Grifo,a,5266,OpenPlay,2024,RightFoot,27772,FC Heidenheim,Freiburg,0,3,2024-09-21 13:30:00,Junior Adamu,Pass
592324,13,BlockedShot,81.9000015258789,64.5999984741211,0.0386134497821331,Vincenzo Grifo,a,5266,OpenPlay,2024,RightFoot,27772,FC Heidenheim,Freiburg,0,3,2024-09-21 13:30:00,Eren Sami Dinkci,Pass
592336,58,Goal,86.30000305175781,46.79999923706054,0.3464329838752746,Vincenzo Grifo,a,5266,OpenPlay,2024,RightFoot,27772,FC Heidenheim,Freiburg,0,3,2024-09-21 13:30:00,,Rebound
592338,64,Goal,92.0,57.29999923706055,0.1212837919592857,Vincenzo Grifo,a,5266,OpenPlay,2024,RightFoot,27772,FC Heidenheim,Freiburg,0,3,2024-09-21 13:30:00,Lucas Höler,BallTouch
594008,15,SavedShot,76.19999694824219,65.69999694824219,0.0598375834524631,Vincenzo Grifo,h,5266,DirectFreekick,2024,RightFoot,27779,Freiburg,St. Pauli,0,3,2024-09-28 13:30:00,,Standard
594011,27,MissedShots,87.5999984741211,57.900001525878906,0.0350584648549556,Vincenzo Grifo,h,5266,OpenPlay,2024,Head,27779,Freiburg,St. Pauli,0,3,2024-09-28 13:30:00,Christian Günter,Chipped
594013,35,BlockedShot,79.5,72.9000015258789,0.021374836564064,Vincenzo Grifo,h,5266,OpenPlay,2024,RightFoot,27779,Freiburg,St. Pauli,0,3,2024-09-28 13:30:00,Patrick Osterhage,Pass
594014,40,SavedShot,88.5,50.0,0.75777667760849,Vincenzo Grifo,h,5266,Penalty,2024,RightFoot,27779,Freiburg,St. Pauli,0,3,2024-09-28 13:30:00,,Standard
